hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,IL,COOK,60007
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Government - State,Acute Care Hospitals,CA,LOS ANGELES,90404
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,CA,INYO,93545
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Proprietary,Acute Care Hospitals,AZ,MOHAVE,86442
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Church,Acute Care Hospitals,CA,NAPA,94558
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,KS,BARBER,67104
1,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,IL,FORD,60936
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Proprietary,Acute Care Hospitals,KY,MASON,41056
1,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,KY,LETCHER,41858
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,KY,BELL,40977
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MA,HAMPDEN,1040
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,KS,GREELEY,67879
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,MT,MADISON,59729
1,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,BURLINGTON,8015
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MO,BUTLER,63901
1,Same as the national average,Above the national average,Not Available,Same as the national average,Below the national average,Government - Local,Critical Access Hospitals,MN,CHIPPEWA,56265
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Church,Acute Care Hospitals,PA,MONTGOMERY,19401
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,VA,DANVILLE CITY,24541
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WI,MILWAUKEE,53215
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,TX,TARRANT,76104
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,TX,DEAF SMITH,79045
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,WA,KING,98112
1,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Physician,Acute Care Hospitals,TX,HARRIS,77090
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,WI,CLARK,54456
1,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,IL,WILL,60435
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,NV,CLARK,89011
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,VENTURA,93003
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,AMADOR,95642
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,AR,SCOTT,72958
1,Not Available,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,CO,CHEYENNE,80810
1,Same as the national average,Below the national average,Below the national average,Below the national average,Not Available,Government - Local,Acute Care Hospitals,CA,LOS ANGELES,90502
1,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Government - Local,Acute Care Hospitals,IN,ELKHART,46514
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,KS,REPUBLIC,66935
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,LA,ALLEN,71463
1,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,CHAMPAIGN,61801
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,IN,MONTGOMERY,47933
1,Above the national average,Same as the national average,Same as the national average,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ID,BINGHAM,83221
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,GA,COLQUITT,31788
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,MT,MADISON,59749
1,Not Available,Not Available,Same as the national average,Above the national average,Not Available,Government - Local,Acute Care Hospitals,NM,GUADALUPE,88435
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,MS,QUITMAN,38646
