order_id,Month_wise,year_wise,Ship Date,sum_sales,total_profit,Category,Sub-Category,State/Province,Region
US-2019-149020,January,2019,2019-01-15,2.89,1.3583,Office Supplies,Labels,Virginia,South
US-2019-117163,January,2019,2019-02-02,333,-16.65,Furniture,Tables,California,West
US-2019-165568,February,2019,2019-02-19,21.36,7.209,Office Supplies,Binders,Washington,West
US-2019-114510,March,2019,2019-03-19,95.136,31.3328,Office Supplies,Binders,Utah,West
US-2019-114510,March,2019,2019-03-19,102.34,9.0064,Office Supplies,Storage,Utah,West
US-2019-100363,April,2019,2019-04-15,2.368,0.8288,Office Supplies,Fasteners,Arizona,West
US-2019-156433,September,2019,2019-09-26,21.72,10.6428,Office Supplies,Paper,California,West
US-2019-164210,November,2019,2019-11-20,35.808,12.5328,Office Supplies,Paper,Colorado,West
US-2019-122959,December,2019,2019-12-12,210.392,-336.6272,Office Supplies,Binders,Texas,Central
US-2020-152128,May,2020,2020-05-27,127.96,60.1412,Office Supplies,Binders,Kansas,Central
US-2020-104941,June,2020,2020-06-19,24.78,6.9384,Office Supplies,Art,Alabama,South
US-2020-121188,August,2020,2020-09-04,307.666,28.9568,Furniture,Bookcases,California,West
US-2020-104626,September,2020,2020-09-08,114.6,51.57,Office Supplies,Binders,Massachusetts,East
US-2020-106873,September,2020,2020-09-29,31.04,4.2208,Office Supplies,Art,Arizona,West
US-2020-161991,September,2020,2020-09-28,2.08,-3.432,Office Supplies,Binders,Texas,Central
US-2020-118766,October,2020,2020-10-22,3.96,-6.93,Office Supplies,Binders,Texas,Central
US-2020-104948,November,2020,2020-11-17,9.872,3.4552,Office Supplies,Binders,California,West
US-2020-159499,November,2020,2020-11-23,325.632,28.4928,Office Supplies,Appliances,Arizona,West
US-2020-123113,November,2020,2020-11-27,17.94,4.485,Office Supplies,Art,New Jersey,East
US-2020-144288,December,2020,2020-12-31,10.368,3.6288,Office Supplies,Paper,Tennessee,South
US-2021-146318,January,2021,2021-01-27,12.96,6.2208,Office Supplies,Paper,Washington,West
US-2021-143819,March,2021,2021-03-05,4899.93,2400.9657,Technology,Machines,New York,East
US-2021-105662,May,2021,2021-05-09,177.48,19.9665,Technology,Phones,Florida,South
US-2021-146010,May,2021,2021-05-23,40.635,-32.508,Office Supplies,Binders,Colorado,West
US-2021-136994,May,2021,2021-06-02,13.38,6.1548,Office Supplies,Paper,California,West
US-2021-165169,June,2021,2021-06-11,360.38,93.6988,Office Supplies,Storage,Delaware,East
US-2021-155670,August,2021,2021-08-17,10.272,3.21,Office Supplies,Paper,North Carolina,South
US-2021-161746,October,2021,2021-10-27,340.92,3.4092,Office Supplies,Storage,California,West
US-2021-120873,October,2021,2021-11-01,290.98,75.6548,Furniture,Chairs,Virginia,South
US-2021-107790,November,2021,2021-11-24,151.192,13.2293,Technology,Phones,Texas,Central
US-2021-130442,December,2021,2021-12-19,34.944,3.0576,Office Supplies,Appliances,North Carolina,South
US-2021-150945,December,2021,2021-12-20,900.08,117.0104,Office Supplies,Storage,New York,East
US-2021-157259,December,2021,2021-12-28,799.56,207.8856,Furniture,Furnishings,New York,East
US-2022-159149,February,2022,2022-02-19,89.0664,-17.0274,Furniture,Bookcases,Texas,Central
US-2022-105809,February,2022,2022-02-23,22.23,7.3359,Furniture,Furnishings,California,West
US-2022-110884,March,2022,2022-03-12,25.92,9.072,Office Supplies,Binders,New York,East
US-2022-129294,March,2022,2022-03-21,140.67,54.8613,Office Supplies,Appliances,California,West
US-2022-122007,March,2022,2022-03-20,90.86,26.3494,Office Supplies,Appliances,California,West
US-2022-111591,March,2022,2022-03-25,22.14,6.4206,Furniture,Furnishings,Washington,West
US-2022-100524,March,2022,2022-04-02,75.04,36.0192,Office Supplies,Paper,New York,East
US-2022-147942,April,2022,2022-04-05,121.68,38.025,Office Supplies,Binders,California,West
US-2022-107979,June,2022,2022-06-13,35.168,-8.3524,Office Supplies,Storage,Arizona,West
