order_id,quantity,month_name,day_name,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
2,2,January,Monday,16,33.5,33.5,M,Chicken,The Chicken Alfredo Pizza
1,1,April,Sunday,12,16.5,16.5,M,Supreme,The Spicy Italian Pizza
3,3,May,Wednesday,12,53.849999999999994,53.849999999999994,L,Veggie,The Four Cheese Pizza
2,2,June,Tuesday,19,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,March,Wednesday,15,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
2,2,March,Monday,20,24.0,24.0,S,Classic,The Big Meat Pizza
1,1,February,Sunday,16,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
2,2,June,Monday,13,41.0,41.0,L,Classic,The Greek Pizza
2,2,May,Saturday,16,41.5,41.5,L,Supreme,The Italian Supreme Pizza
1,1,January,Thursday,17,16.5,16.5,M,Supreme,The Pepper Salami Pizza
1,1,March,Thursday,11,20.75,20.75,L,Supreme,The Pepper Salami Pizza
2,2,January,Friday,19,21.0,21.0,S,Classic,The Hawaiian Pizza
2,2,January,Monday,11,24.0,24.0,S,Classic,The Big Meat Pizza
2,2,May,Tuesday,12,41.5,41.5,L,Supreme,The Prosciutto and Arugula Pizza
3,3,March,Sunday,17,62.25,62.25,L,Chicken,The Barbecue Chicken Pizza
1,1,June,Thursday,13,16.5,16.5,L,Classic,The Hawaiian Pizza
2,2,January,Sunday,15,33.5,33.5,M,Chicken,The Barbecue Chicken Pizza
1,1,May,Wednesday,21,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
1,1,April,Monday,11,20.75,20.75,L,Chicken,The Chicken Alfredo Pizza
1,1,May,Thursday,16,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
2,2,March,Wednesday,18,21.0,21.0,S,Classic,The Hawaiian Pizza
2,2,May,Sunday,21,41.5,41.5,L,Chicken,The Chicken Pesto Pizza
1,1,April,Wednesday,16,16.5,16.5,L,Classic,The Hawaiian Pizza
2,2,May,Thursday,14,41.5,41.5,L,Supreme,The Pepper Salami Pizza
1,1,February,Monday,12,12.5,12.5,M,Classic,The Pepperoni Pizza
2,2,March,Monday,17,24.0,24.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,May,Tuesday,15,12.0,12.0,S,Classic,The Big Meat Pizza
2,2,June,Tuesday,19,51.0,51.0,XL,Classic,The Greek Pizza
1,1,March,Friday,19,12.75,12.75,S,Chicken,The California Chicken Pizza
1,1,March,Tuesday,13,12.0,12.0,S,Veggie,The Green Garden Pizza
1,1,March,Friday,22,12.5,12.5,S,Supreme,The Pepper Salami Pizza
2,2,June,Monday,15,33.5,33.5,M,Chicken,The Southwest Chicken Pizza
1,1,April,Sunday,20,16.5,16.5,M,Supreme,The Italian Supreme Pizza
2,2,March,Friday,16,33.5,33.5,M,Chicken,The Thai Chicken Pizza
1,1,January,Saturday,19,12.75,12.75,S,Chicken,The Thai Chicken Pizza
1,1,March,Monday,19,16.25,16.25,M,Supreme,The Sicilian Pizza
2,2,January,Monday,19,19.5,19.5,S,Classic,The Pepperoni Pizza
1,1,April,Friday,13,12.75,12.75,S,Chicken,The California Chicken Pizza
3,3,February,Wednesday,13,62.25,62.25,L,Chicken,The Thai Chicken Pizza
1,1,February,Tuesday,18,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
1,1,February,Thursday,20,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
2,2,April,Monday,19,40.5,40.5,L,Supreme,The Sicilian Pizza
2,2,September,Wednesday,18,41.5,41.5,L,Chicken,The Chicken Pesto Pizza
1,1,September,Sunday,11,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,June,Tuesday,11,12.0,12.0,S,Classic,The Classic Deluxe Pizza
2,2,July,Friday,11,41.0,41.0,L,Classic,The Italian Capocollo Pizza
1,1,August,Tuesday,17,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,September,Monday,22,10.5,10.5,S,Classic,The Hawaiian Pizza
4,4,December,Thursday,12,48.0,48.0,S,Classic,The Big Meat Pizza
1,1,August,Thursday,17,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,September,Thursday,13,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
1,1,October,Sunday,18,12.0,12.0,S,Classic,The Greek Pizza
2,2,July,Friday,19,41.5,41.5,L,Chicken,The Thai Chicken Pizza
2,2,November,Thursday,19,25.0,25.0,M,Classic,The Pepperoni Pizza
1,1,September,Saturday,12,20.5,20.5,L,Classic,The Greek Pizza
1,1,November,Sunday,19,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,September,Sunday,12,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
1,1,December,Wednesday,18,12.0,12.0,S,Classic,The Classic Deluxe Pizza
1,1,December,Friday,16,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,June,Thursday,11,11.0,11.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,August,Saturday,19,12.5,12.5,S,Supreme,The Soppressata Pizza
1,1,October,Friday,15,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,October,Thursday,16,21.0,21.0,L,Veggie,The Italian Vegetables Pizza
1,1,June,Tuesday,21,12.0,12.0,S,Classic,The Big Meat Pizza
1,1,September,Thursday,11,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
1,1,November,Thursday,21,20.5,20.5,L,Classic,The Classic Deluxe Pizza
2,2,August,Wednesday,15,41.5,41.5,L,Supreme,The Italian Supreme Pizza
1,1,August,Thursday,20,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,September,Sunday,19,12.0,12.0,S,Veggie,The Green Garden Pizza
1,1,November,Tuesday,11,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,September,Monday,12,12.75,12.75,S,Chicken,The Thai Chicken Pizza
1,1,August,Friday,17,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,August,Thursday,19,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,2,July,Wednesday,19,41.5,41.5,L,Chicken,The Barbecue Chicken Pizza
2,2,August,Tuesday,15,51.0,51.0,XL,Classic,The Greek Pizza
1,1,October,Thursday,14,16.0,16.0,M,Classic,The Italian Capocollo Pizza
1,1,July,Friday,16,12.5,12.5,S,Supreme,The Soppressata Pizza
2,2,December,Tuesday,20,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,December,Saturday,11,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
2,2,July,Sunday,18,41.5,41.5,L,Supreme,The Spicy Italian Pizza
1,1,December,Tuesday,15,20.25,20.25,L,Supreme,The Sicilian Pizza
1,1,December,Tuesday,13,20.75,20.75,L,Chicken,The Chicken Alfredo Pizza
7,7,December,Monday,12,125.65,125.65,L,Veggie,The Four Cheese Pizza
1,1,December,Wednesday,17,20.75,20.75,L,Supreme,The Spicy Italian Pizza
1,1,December,Thursday,15,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,1,July,Wednesday,19,12.0,12.0,S,Classic,The Big Meat Pizza
2,2,January,Thursday,19,41.5,41.5,L,Supreme,The Italian Supreme Pizza
2,2,May,Friday,20,41.5,41.5,L,Supreme,The Pepper Salami Pizza
3,3,April,Saturday,21,62.25,62.25,L,Chicken,The Southwest Chicken Pizza
1,1,February,Tuesday,18,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
3,3,May,Sunday,20,48.0,48.0,M,Veggie,The Spinach and Feta Pizza
1,1,May,Friday,20,20.5,20.5,L,Classic,The Italian Capocollo Pizza
2,2,May,Monday,14,29.5,29.5,M,Veggie,The Four Cheese Pizza
2,2,April,Monday,17,51.0,51.0,XL,Classic,The Greek Pizza
1,1,May,Wednesday,14,23.65,23.65,S,Supreme,The Brie Carre Pizza
2,2,May,Sunday,14,37.0,37.0,L,Veggie,The Five Cheese Pizza
2,2,April,Wednesday,17,26.5,26.5,M,Classic,The Hawaiian Pizza
2,2,April,Wednesday,16,24.0,24.0,S,Classic,The Classic Deluxe Pizza
1,1,February,Wednesday,22,16.5,16.5,M,Supreme,The Soppressata Pizza
3,3,February,Thursday,12,60.75,60.75,L,Veggie,The Mexicana Pizza
2,3,February,Sunday,16,21.0,31.5,S,Classic,The Hawaiian Pizza
1,1,March,Thursday,14,16.5,16.5,M,Supreme,The Soppressata Pizza
2,2,March,Monday,17,40.5,40.5,L,Veggie,The Vegetables + Vegetables Pizza
4,5,February,Tuesday,12,48.0,60.0,S,Classic,The Big Meat Pizza
